activity_dag,activity_count,event_count,over_max_event,lead_time,activity_sequence,oid,work_time,start_at,resource_count
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','10','10','false','269520000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','142','14580000','1970-01-07T01:18:00+09:00','4'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>>InternRepair*>InternRepair**>InternRepair>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','10','13','false','48660000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>InternRepair>InternRepair>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','143','50700000','1970-01-07T05:40:00+09:00','4'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>ImmediateRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady*','10','10','false','704640000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>ImmediateRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady','144','10020000','1970-01-06T18:24:00+09:00','3'
'FirstContact>InformClientWrongPlace*','2','2','false','0','FirstContact>InformClientWrongPlace','145','0','1970-01-02T09:40:00+09:00','1'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','10','10','false','100200000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','146','19440000','1970-01-06T13:34:00+09:00','3'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady*','10','10','false','278160000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady','147','15900000','1970-01-03T02:04:00+09:00','4'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady*','10','10','false','220800000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady','148','16560000','1970-01-02T22:30:00+09:00','4'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','10','10','false','1219800000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','149','75780000','1970-01-03T19:36:00+09:00','4'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>ImmediateRepair>ExternRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady*','11','11','false','111720000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>ImmediateRepair>ExternRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady','15','10200000','1970-01-05T09:21:00+09:00','4'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','10','10','false','371760000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','150','16200000','1970-01-04T20:29:00+09:00','3'
'FirstContact>InformClientWrongPlace*','2','2','false','0','FirstContact>InformClientWrongPlace','151','0','1970-01-03T12:50:00+09:00','1'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','10','10','false','404940000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','152','34080000','1970-01-04T03:35:00+09:00','4'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>ImmediateRepair>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','11','11','false','83580000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>ImmediateRepair>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','153','23100000','1970-01-06T09:02:00+09:00','3'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','10','10','false','234360000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','154','19920000','1970-01-05T19:21:00+09:00','4'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>ImmediateRepair>InternRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady*','11','11','false','67440000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>ImmediateRepair>InternRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady','155','15540000','1970-01-02T07:11:00+09:00','3'
'FirstContact>InformClientWrongPlace*','2','2','false','0','FirstContact>InformClientWrongPlace','156','0','1970-01-01T23:58:00+09:00','1'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','10','10','false','85740000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','157','56220000','1970-01-03T22:27:00+09:00','3'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','10','10','false','974160000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','158','17040000','1970-01-05T18:40:00+09:00','4'
'FirstContact>InformClientWrongPlace*','2','2','false','0','FirstContact>InformClientWrongPlace','159','0','1970-01-08T05:20:00+09:00','1'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>ImmediateRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','10','10','false','350520000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>ImmediateRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','16','48600000','1970-01-08T03:54:00+09:00','3'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>>InternRepair*>InternRepair**>InternRepair>InternRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady*','10','13','false','564420000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>InternRepair>InternRepair>InternRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady','160','56100000','1970-01-05T05:19:00+09:00','4'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','10','10','false','49800000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','161','17100000','1970-01-01T15:21:00+09:00','4'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>ImmediateRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady*','10','10','false','192780000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>ImmediateRepair>RepairReady>SendTicketToFinAdmin>ReadyInformClient>TicketReady','162','9660000','1970-01-07T04:37:00+09:00','3'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>ExternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','11','11','false','547680000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>ExternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','163','36420000','1970-01-07T13:38:00+09:00','5'
'FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady*','10','10','false','444780000','FirstContact>MakeTicket>ArrangeSurvey>InformClientSurvey>Survey>InternRepair>RepairReady>ReadyInformClient>SendTicketToFinAdmin>TicketReady','164','17520000','1970-01-08T00:04:00+09:00','4'
